NAME,Population,Median_Income
"Marion County, Indiana",951869,29572
"Wayne County, Indiana",66342,25292
"Butler County, Iowa",14628,31123
"Fremont County, Iowa",6946,30390
"Hamilton County, Iowa",14997,32448
"Taylor County, Iowa",6167,29178
"Union County, Iowa",12358,27896
"Worth County, Iowa",7445,32311
"Ringgold County, Iowa",4964,29532
"Adair County, Iowa",7085,31886
"Chickasaw County, Iowa",12026,32338
"Clarke County, Iowa",9360,30386
"Dickinson County, Iowa",17127,34232
"Johnson County, Iowa",148577,30486
"Keokuk County, Iowa",10188,28824
"Tama County, Iowa",17032,30623
"Wapello County, Iowa",35141,27905
"Franklin County, Iowa",10162,31147
"Carroll County, Iowa",20281,31396
"Cedar County, Iowa",18457,35486
"Floyd County, Iowa",15786,28660
"Greene County, Iowa",8950,28990
"Louisa County, Iowa",11178,30556
"Lyon County, Iowa",11776,32845
"Union County, Georgia",23288,25320
"Bladen County, North Carolina",33407,22298
"Carteret County, North Carolina",69070,29053
"Bertie County, North Carolina",19380,19215
"Martin County, North Carolina",22849,22952
"Perquimans County, North Carolina",13430,25800
"Rockingham County, North Carolina",91077,24465
"Camden County, North Carolina",10551,33651
"Gaston County, North Carolina",219271,27099
"Moore County, North Carolina",97294,31217
"Stanly County, North Carolina",61588,26826
"Yancey County, North Carolina",17760,25083
"Chatham County, North Carolina",71338,32024
"Johnston County, North Carolina",196870,30254
"Person County, North Carolina",39345,28355
"Ashe County, North Carolina",26863,24071
"Lenoir County, North Carolina",56756,22957
"Onslow County, North Carolina",195069,25209
"Rutherford County, North Carolina",66599,23142
"Yadkin County, North Carolina",37602,26335
"Burke County, North Carolina",89968,23880
"Traill County, North Dakota",8008,35748
"Dickey County, North Dakota",4938,33423
"Ward County, North Dakota",68812,37158
"Pembina County, North Dakota",6947,32468
"Hettinger County, North Dakota",2547,28770
"Cass County, North Dakota",176975,34981
"Emmons County, North Dakota",3310,31352
"Richland County, North Dakota",16254,31407
"Adams County, North Dakota",2311,31453
"Eddy County, North Dakota",2301,31143
"Mercer County, North Dakota",8462,37940
"Ransom County, North Dakota",5314,32396
"Sioux County, North Dakota",4373,21213
"Golden Valley County, North Dakota",1845,32500
"Towner County, North Dakota",2224,33801
"Divide County, North Dakota",2335,35417
"Sargent County, North Dakota",3872,40227
"Meigs County, Ohio",23078,23034
"Champaign County, Ohio",38845,30835
"Greene County, Ohio",166502,32287
"Lawrence County, Ohio",60184,24733
"Morgan County, Ohio",14640,22096
"Wyandot County, Ohio",22000,31446
"Erie County, Ohio",74780,29836
"Logan County, Ohio",45316,31536
"Summit County, Ohio",541334,30799
"Lemhi County, Idaho",7847,22472
"Payette County, Idaho",23260,27032
"Benewah County, Idaho",9138,23285
"Bonner County, Idaho",43611,25310
"Clark County, Idaho",913,23424
"Custer County, Idaho",4169,19388
"Elmore County, Idaho",26743,26809
"Fremont County, Idaho",13020,24360
"Madison County, Idaho",39100,12911
"Shoshone County, Idaho",12609,21338
"Idaho County, Idaho",16411,21757
"Teton County, Idaho",11426,33984
"Power County, Idaho",7671,26383
"Washington County, Idaho",10057,21188
"Hancock County, Illinois",17983,29026
"Madison County, Illinois",264776,31555
"Grundy County, Illinois",50666,40057
"Kankakee County, Illinois",110637,27619
"Mercer County, Illinois",15589,31234
"DuPage County, Illinois",929060,41943
"Alexander County, Illinois",6260,21845
"Menard County, Illinois",12306,40057
"LaSalle County, Illinois",109737,29484
"Cook County, Illinois",5198275,32955
"Macon County, Illinois",105528,28225
"Stephenson County, Illinois",45093,27178
"Wayne County, Illinois",16402,28537
"Woodford County, Illinois",38700,35400
"Franklin County, Illinois",38923,24243
"McDonough County, Illinois",30479,21047
"McHenry County, Illinois",307714,39390
"Greeley County, Kansas",1185,30542
"Ellis County, Kansas",28775,26676
"Linn County, Kansas",9671,27113
"Seward County, Kansas",22349,27166
"Johnson County, Kansas",591506,43408
